No,企業名,主要三品目①,主要三品目②,主要三品目③,企業HP
1,アルファ電子株式会社,医療機器・電子機器の開発設計、部品調達からの一貫生産,基板表面実装から完成までの一貫生産,海外生産品の品質保証業務,https://www.nc-net.or.jp//company/75512/
2,株式会社 サワテツ,多品種向け部品加工,試作単品加工,製缶、板金、各種表面処理、組み付け,https://www.nc-net.or.jp//company/81170/
3,有限会社新栄精器,産業機械部品,半導体製造装置部品,金型部品,https://www.nc-net.or.jp//company/49689/
4,高橋金属株式会社,真鍮パイプ・銅パイプ・ステンレスパイプ加工,真鍮切削部品等　非鉄金属加工　精密加工,鋼板　レベラ－・シャーリング加工,https://www.nc-net.or.jp//company/79992/
5,大和合成株式会社,自動車部品（硬化性樹脂プーリー）,重電機器部品（ブレーカー部品）,金属との複合成形,https://www.nc-net.or.jp//company/83510/
6,大伸ダイス工業株式会社,引き抜き加工用工具（耐摩耗工具）,冷間鍛造用金型,機械要素部品,https://www.nc-net.or.jp//company/91496/
7,株式会社飯塚製作所,自動車部品,建機部品,高圧クーラントポンプ部品,https://www.nc-net.or.jp//company/21558/
8,株式会社田代鉄工所,配管製缶等の施工一式,大型製缶加工【タンク・ダクト・カバー・配管】,ガラス関係生産設備,https://www.nc-net.or.jp//company/62379/
9,株式会社タカハタ,受配電盤,産業機械,食品機械,https://www.nc-net.or.jp//company/92852/
10,ホッティーポリマー株式会社,3Dプリンター受託加工・機器販売,3Dプリンター用フィラメント製造、販売,ゴム・樹脂押出成形,https://www.nc-net.or.jp//company/26477/
11,株式会社ジェイアンドシー,プレス金型（設計、製作）、精密金型・精密機械・設備（自動機）等の部品加工及び治具製作,精密小型プレス機（設計、製作）,金型と精密小型プレス機のターンキーシステムの提案,https://www.nc-net.or.jp//company/87344/
12,株式会社大日光・エンジニアリング,・基板実装・組立事業：回路設計から製造（実装）、完成品組立までのPCBA,・光学機器組立事業　：光学機器などクリーンな環境での作業が必要な組立,・電源開発事業　　　　：カスタム電源ユニット基板の設計、製造、販売,https://www.nc-net.or.jp//company/84523/
13,株式会社富士精工,自動車内装部品関係,家電関係,住宅設備関連、キッチン、浴室関連,https://www.nc-net.or.jp//company/46448/
14,メカトーク株式会社,中国工場（６社／約３００人）による精密部品加工,機械装置部品の販売,各種産業機械・工作機械の販売,https://www.nc-net.or.jp//company/85579/
15,富士電子工業株式会社,高周波焼入れ受託加工・高周波熱処理による試作,高周波誘導加熱装置およびその部品の製造販売,トランジスタ・インバータおよびその部品の製造販売,https://www.nc-net.or.jp//company/88995/
16,株式会社キャステム,ロストワックス精密鋳造部品　製造・販売,金属射出焼結部品(メタルインジェクション = MIM)　製造・販売,受託CTスキャンサービス,https://www.nc-net.or.jp//company/77539/
17,株式会社シルベック,アルミダイカストへの各種めっき・表面処理,亜鉛ダイカスト素材への各種めっき,微細、小サイズ部品への精密バレルめっき（錫、銀、銅、ニッケル他）,https://www.nc-net.or.jp//company/75399/
