No,企業名,業種(大分類),業種(小分類),採用情報URL
1,日本シイエムケイ株式会社,半導体・電子部品・その他,自動車／コンピュータ・通信機器・ＯＡ機器／機械／化学,https://job.rikunabi.com//2022/company/r498200060/employ/
2,コロワイドグループ,食品,商社（食料品）／外食・レストラン・フードサービス／コンサルタント・専門コンサルタント,https://job.rikunabi.com//2022/company/r498200060/employ/
3,株式会社夢真,建設,住宅／不動産／商社（総合）／広告,https://job.rikunabi.com//2022/company/r498200060/employ/
4,株式会社ちよだ鮨,食品,外食・レストラン・フードサービス／水産／商社（食料品）／その他専門店・小売,https://job.rikunabi.com//2022/company/r498200060/employ/
5,スタンレー電気株式会社,半導体・電子部品・その他,自動車／輸送機器／コンピュータ・通信機器・ＯＡ機器／精密機器,https://job.rikunabi.com//2022/company/r498200060/employ/
6,日本トムソン株式会社,機械,金属製品／自動車／半導体・電子部品・その他／商社（機械）,https://job.rikunabi.com//2022/company/r498200060/employ/
7,JESCOホールディングス株式会社,設備・設備工事関連,電力・電気／通信／建設／建設コンサルタント,https://job.rikunabi.com//2022/company/r498200060/employ/
8,株式会社日産オートモーティブテクノロジー,自動車,輸送機器／機械,https://job.rikunabi.com//2022/company/r498200060/employ/
9,TMTマシナリー株式会社,機械,精密機器／繊維／商社（機械）／その他製造,https://job.rikunabi.com//2022/company/r498200060/employ/
10,株式会社　飯田産業,住宅,不動産／建築設計／建設／ホテル,https://job.rikunabi.com//2022/company/r498200060/employ/
11,東亜建設工業株式会社,建設,建築設計／建設コンサルタント／機械／重電・産業用電気機器,https://job.rikunabi.com//2022/company/r498200060/employ/
12,株式会社アイダ設計,住宅,建築設計／不動産／建設／建材・エクステリア,https://job.rikunabi.com//2022/company/r498200060/employ/
13,株式会社日本製鋼所,機械,鉄鋼／総合電機（電気・電子機器）／プラント・エンジニアリング,https://job.rikunabi.com//2022/company/r498200060/employ/
14,日本電波工業株式会社,半導体・電子部品・その他,コンピュータ・通信機器・ＯＡ機器／家電・ＡＶ機器／精密機器／その他製造,https://job.rikunabi.com//2022/company/r498200060/employ/
